Axial Position x, Normalized Nozzle Radius r
1.150,1.169098
1.157,1.175072
1.163,1.181046
1.169,1.187019
1.176,1.192993
1.182,1.198967
1.189,1.204941
1.195,1.210915
1.202,1.216889
1.208,1.222863
1.214,1.228836
1.221,1.234810
1.227,1.240784
1.234,1.246758
1.240,1.252732
1.246,1.258706
1.253,1.264680
1.259,1.270653
1.266,1.276627
1.272,1.282601
1.279,1.288575
1.285,1.294549
1.291,1.300523
1.298,1.306497
1.304,1.312470
1.311,1.318444
1.317,1.324418
1.324,1.330392
1.330,1.336366
1.336,1.342340
1.343,1.348314
1.349,1.354288
1.356,1.360261
1.362,1.366235
1.369,1.372209
1.375,1.378183
1.381,1.384157
1.388,1.390131
1.394,1.396105
1.401,1.402078
1.407,1.408052
1.414,1.414026
1.420,1.420000
